Museum,Cat,Country,State,Locality,loc,Lat,Long,Taxon,sub,Juv,Sex,Wing,Tail,Tarsus,length,low_len,depth,width,brightness,hue,chroma,Notes,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
UMMZ,155296,Guatemala,Zacapa,"Usumatlan, 7 Mi NW",4,,,unicolor,4,0,1,154,164,42.4,19,17.9,10.1,8.6,2.8955,0.2571,0.3049,,29.573,38.4945,40.164,38.714,35.9625,32.3905,28.2115,24.016,19.9125,16.4275,13.7105,11.5255,10.009,9.167,8.641,8.0575,7.4455,7.1265,6.217,5.7325
UMMZ,155297,Guatemala,Zacapa,"Usumatlan, 9 Mi NW",4,,,unicolor,4,0,0,161,165,43.6,20.2,19.8,10.8,10.2,9.2469,-5.7204,1.9383,,42.4555,61.267,65.394,63.18,58.34,51.294,43.611,35.934,28.5545,22.4165,17.297,13.586,10.874,8.8905,7.3525,5.135,3.6535,0.113,-3.729,-8.5315
USNM,103227,Guatemala,,,,,,unicolor,4,0,,170,172,41.8,20.7,19,11.5,9.4,-1.0589,1.0126,-1.7038,,15.6265,24.675,28.5845,29.3395,28.265,26.1005,23.2925,19.959,16.6705,13.732,11.215,9.4955,8.1235,7.1635,6.44,5.7315,5.174,4.755,4.2505,3.4545
USNM,103228,Guatemala,,,,,,unicolor,4,0,,155,160,40.4,18.6,18.3,10,8.8,7.1007,-0.4183,-0.0336,,30.2195,43.883,48.2165,48.2835,45.8025,42.098,37.284,31.698,26.158,21.284,17.1975,14.081,11.9315,10.564,9.8975,9.4775,9.575,9.812,10.26,11.0285
MCZ,18548,,,,,,,griscomi,5,0,0,161,170,41.4,21.5,18.5,10,9.2,-1.7173,-3.3836,0.0194,,25.8475,37.046,39.158,36.606,32.2845,27.1965,22.527,18.4055,14.8845,12.141,9.393,7.787,6.748,5.4205,3.8385,1.298,-1.941,-5.7005,-14.504,-23.734
MCZ,158488,Honduras,,Rancho Quemado,,,,griscomi,5,0,1,167,168,42.1,20.4,17.5,10.9,9.6,-1.0189,-3.1382,0.2734,,24.4925,37.1575,40.6365,39.487,35.9165,30.5625,24.8395,19.778,15.5225,12.308,9.4855,7.755,6.362,4.8205,3.7145,1.8685,-0.3515,-3.0615,-8.51,-15.645
MCZ,158490,Honduras,,El Darrumbo,3,,,griscomi,5,0,1,164,169,43.5,20.6,18.5,10.8,9.2,-0.1066,-2.7843,1.2296,,34.7755,41.873,41.512,38.143,33.628,28.802,24.168,19.712,16.007,13.1245,10.3835,8.7505,7.386,6.083,5.2115,3.2675,0.5525,-2.2585,-8.498,-16.2065
MCZ,158491,Honduras,,El Darrumbo,3,,,griscomi,5,0,1,159,161,42.5,21.6,18.2,10.5,9.5,-0.3126,-1.0926,0.1357,Lower beak broken,28.8775,35.9415,36.113,33.9115,30.8105,26.955,23.0735,19.13,15.815,13.3545,11.0055,9.5415,8.6045,7.2995,6.428,4.651,2.5285,0.1945,-4.669,-10.7385
MCZ,161936,Honduras,,Rancho Quemado,,,,griscomi,5,0,0,161,161,43.1,23.4,19.8,10.5,10.2,0.2643,0.0714,-1.3877,,21.784,30.2765,33.2055,32.458,29.999,26.659,23.181,19.844,16.9615,14.7265,12.604,11.218,10.32,9,7.8575,6.4545,4.1585,1.648,-3.8405,-11.449
MCZ,161937,,,,,,,griscomi,5,0,1,159,165,41.2,20.4,19.3,10.6,9.3,-3.8864,-2.4558,-1.5347,,17.75,27.072,29.748,29.0325,26.906,23.5115,19.9385,16.5115,13.3545,10.9235,8.5785,7.142,5.798,4.264,3.2345,1.1535,-2.3825,-6.3,-14.54,-26.103
MCZ,169907,Honduras,Lempira,Cerro Santa Maria,2,,,griscomi,5,0,1,160,165,40.5,22.4,19.3,11.2,10.3,-3.4122,-4.0226,0.1645,,24.487,34.945,37.2875,35.5405,31.17,25.955,21.1825,16.78,13.1005,10.2855,7.586,5.957,4.7625,3.3245,2.091,-0.1175,-3.9915,-7.7365,-15.9355,-26.0125
